nom_prenom,code_nuance
deher_lesaint_leopold_edouard,DIV
ponge_philippe,DIV
marechal_marion,REC
aubry_manon,LFI
bardella_jordan,RN
toussaint_marie,ECO
azergui_nagib,DIV
thouy_helene,DIV
terrien_olivier,EXG
zorn_caroline,DIV
hayer_valerie,ENS
alexandre_audric,DIV
cholley_marine,DIV
wehrling_yann,ECO
asselineau_francois,DSV
simonin_michel,DIV
fortane_jean_marc,DIV
bellamy_francois_xavier,LR
arthaud_nathalie,EXG
larrouturou_pierre,DIVG
renard_kuzmanovic_georges,DIV
labib_selma,EXG
adoue_camille,EXG
philippot_florian,DSV
husson_edouard,DIV
bonneau_pierre_marie,EXD
glucksmann_raphael,SOC
hoareau_charles,EXG
lassalle_jean,REG
lalanne_francis,DIV
lacroix_guillaume,ECO
elmayan_lorys,DIV
deffontaines_leon,COM
coste_meunier_gael,DIV
governatori_jean_marc,ECO
traore_hamada,DIV
patas_d_illiers_laure,DIV
grude_patrice,DIV
